2019-05-28T15:07:38.645Z [info] 	Starting TrueAutomation.IO client
2019-05-28T15:07:50.799Z [info] 	23 Sending POST request to http://localhost:9516/session/ea49d64bfdb970a10b14efd8a4c3fd80/element/0.31077128047845615-6/click:  {}
2019-05-28T15:07:53.840Z [info] 	24 Sending GET request to http://localhost:9516/session/ea49d64bfdb970a10b14efd8a4c3fd80/window_handles:  {}
2019-05-28T15:07:53.848Z [info] 	25 Sending POST request to http://localhost:9516/session/ea49d64bfdb970a10b14efd8a4c3fd80/window:  {"name":"CDwindow-136955643719D217E9D5D3239BDEDC73"}
2019-05-28T15:07:53.853Z [info] 	26 Sending GET request to http://localhost:9516/session/ea49d64bfdb970a10b14efd8a4c3fd80/window_handles:  {}
2019-05-28T15:07:53.857Z [info] 	27 Sending POST request to http://localhost:9516/session/ea49d64bfdb970a10b14efd8a4c3fd80/goog/cdp/execute:  {"cmd":"Network.clearBrowserCookies","params":{}}
2019-05-28T15:07:53.863Z [info] 	28 Sending GET request to http://localhost:9516/session/ea49d64bfdb970a10b14efd8a4c3fd80/url:  {}
2019-05-28T15:07:53.868Z [info] 	29 Sending DELETE request to http://localhost:9516/session/ea49d64bfdb970a10b14efd8a4c3fd80/session_storage:  {}
2019-05-28T15:07:53.883Z [info] 	30 Sending DELETE request to http://localhost:9516/session/ea49d64bfdb970a10b14efd8a4c3fd80/local_storage:  {}
2019-05-28T15:07:53.888Z [info] 	31 Sending POST request to http://localhost:9516/session/ea49d64bfdb970a10b14efd8a4c3fd80/url:  {"url":"about:blank"}
2019-05-28T15:07:53.910Z [info] 	32 Sending elements request to http://localhost:9516/session/ea49d64bfdb970a10b14efd8a4c3fd80:  {"using":"xpath","value":"/html/body/*"}
2019-05-28T15:07:53.910Z [info] 	32 Elements locator: {"value":"/html/body/*","using":"xpath"}
2019-05-28T15:07:53.921Z [info] 	32 Elements response: {"sessionId":"ea49d64bfdb970a10b14efd8a4c3fd80","status":0,"value":[]}
2019-05-28T15:07:53.924Z [info] 	33 Sending DELETE request to http://localhost:9516/session/ea49d64bfdb970a10b14efd8a4c3fd80:  {}
2019-05-28T15:07:53.980Z [info] 	Sync elements
